CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Data_Nome_Empresarial;Nome_Empresarial_Anterior;Data_Constituicao;Codigo_CVM;Data_Registro_CVM;Categoria_Registro_CVM;Data_Categoria_Registro_CVM;Situacao_Registro_CVM;Data_Situacao_Registro_CVM;Pais_Origem;Pais_Custodia_Valores_Mobiliarios;Setor_Atividade;Descricao_Atividade;Situacao_Emissor;Data_Situacao_Emissor;Especie_Controle_Acionario;Data_Especie_Controle_Acionario;Dia_Encerramento_Exercicio_Social;Mes_Encerramento_Exercicio_Social;Data_Alteracao_Exercicio_Social;Pagina_Web
82.981.812/0001-20;2015-01-01;2;46205;BUETTNER SA IND E COMERCIO;2011-05-13;BUETTNER SA IND E COMERCIO - Em Recuperação Judicial;1952-10-01;002038;1969-02-27;Categoria A;2010-01-01;Ativo;1969-02-27;Brasil;Brasil;Têxtil e Vestuário;Banho e Cama;Fase Operacional;1969-02-27;Privado;1999-04-09;31;12;;www.buettner.com.br
82.981.929/0001-03;2015-01-01;1;44204;CIA INDL SCHLOSSER SA;1933-10-18;G. SCHLOSSER & FILHOS;1911-01-01;003549;1985-06-28;Categoria A;2010-01-01;Ativo;1985-06-28;Brasil;Brasil;Têxtil e Vestuário;Tecidos para Vestuário;Fase Operacional;1985-06-28;Privado;;31;12;2011-12-31;www.schlosser.com.br
82.982.075/0001-80;2015-01-01;1;45493;TÊXTIL RENAUXVIEW S/A;2007-05-29;INDÚSTRIAS TÊXTEIS RENAUX S/A;1926-04-25;007544;1969-08-11;Categoria A;2010-01-01;Ativo;1969-08-11;Brasil;Brasil;Têxtil e Vestuário;Fiação e tecelagem de algodão;Fase Operacional;1969-08-11;Privado;2009-03-30;31;12;;www.renaxuview.com.br
83.475.913/0001-91;2015-01-01;3;52463;PBG S/A;1998-12-17;PORTOBELLO S/A;1977-12-22;013773;1991-01-04;Categoria A;2010-01-01;Ativo;1991-01-04;Brasil;Brasil;Construção Civil, Mat. Constr. e Decoração;Industrialização e Comercialização de Revestimentos Cerâmicos;Fase Operacional;1991-01-04;Privado;1977-12-22;31;12;2009-12-31;www.portobello.com.br
83.878.892/0001-55;2015-01-01;3;51398;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;;;1955-12-09;002461;1973-03-26;Categoria A;2010-01-01;Ativo;1973-03-26;Brasil;Brasil;Energia Elétrica;Holding do Setor de Energia;Fase Operacional;1973-03-26;Estatal;;31;12;;www.celesc.com.br
84.208.123/0001-02;2015-01-01;5;50209;CIA DOCAS DE IMBITUBA;;;1923-11-01;003174;1977-07-20;Categoria A;2010-01-01;Ativo;2015-08-05;Brasil;Brasil;Serviços Transporte e Logística;Administração Portuária;Fase Operacional;2015-08-05;Privado;;31;12;;www.cdiport.com.br
84.429.695/0001-11;2015-01-01;2;44425;WEG SA;1986-03-31;Eletromotores WEG S.A.;1961-06-30;005410;1982-02-09;Categoria A;2010-01-01;Ativo;1982-02-09;Brasil;Brasil;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;A WEG SA é uma sociedade de participação não operacional (holding) etambém sociedade de comando do Grupo WEG.;Fase Operacional;1982-02-09;Privado Holding;1961-06-30;31;12;;http://www.weg.net/br
84.683.374/0001-49;2015-01-01;3;50508;TUPY SA;1985-12-10;Fundição Tupy S.A.;1938-02-15;006343;1966-07-01;Categoria A;2010-01-01;Ativo;1966-07-01;Brasil;Brasil;Metalurgia e Siderurgia;Produtos fundidos para a industria automobilística / conexões em ferro fundido para aplicações em redes hidráulicas e de gás / granalhas e perfis;Fase Operacional;1966-07-01;Privado;2008-04-30;31;12;;www.tupy.com.br
84.683.408/0001-03;2015-01-01;2;47732;DOHLER S.A.;1997-04-22;Döhler S.A. Comércio e Indústria;1966-08-08;005207;1973-12-26;Categoria A;2010-01-01;Ativo;1973-12-26;Brasil;Brasil;Têxtil e Vestuário;Fabricação de artefatos têxteis para uso doméstico;Fase Operacional;1973-12-26;Privado;1966-08-08;31;12;2014-12-31;www.dohler.com.br
84.683.671/0001-94;2015-01-01;2;47362;WETZEL S.A.;1998-12-30;Metalúrgica Wetzel S/A;1932-04-11;011991;1984-10-09;Categoria A;2010-01-01;Ativo;1984-10-09;Brasil;Brasil;Metalurgia e Siderurgia;Fabricação de peças e acessórios para sistema motor de veículos automotores;Fase Operacional;1984-10-09;Privado;;31;12;;www.wetzel.com.br
84.683.762/0001-20;2015-01-01;2;44440;METALURGICA DUQUE SA;;METALURGICA DUQUE LTDA.;1955-09-16;008648;1971-11-26;Categoria A;2010-01-01;Ativo;1971-11-26;Brasil;Brasil;Metalurgia e Siderurgia;Fabricação de peças p/bicicletas, peças p/eletrodomésticos e linha automotiva.;Fase Operacional;2014-02-14;Privado;;31;12;2009-12-31;www.duque.com.br
84.693.183/0001-68;2015-01-01;2;46373;SCHULZ SA;;;1963-07-04;014664;1994-12-19;Categoria A;2010-01-01;Ativo;1994-12-19;Brasil;Brasil;Metalurgia e Siderurgia;Indústria Metalúrgica;Fase Operacional;1994-12-19;Privado;;31;12;;www.schulz.com.br
85.041.333/0001-11;2015-01-01;2;47724;TERMINAIS PORT. DA PONTA DO FÉLIX S/A;;;1996-02-27;015407;1996-02-27;Categoria A;2010-01-01;Ativo;1996-02-27;Brasil;Brasil;Serviços Transporte e Logística;Administração da infra-estrutura portuáriaDepósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveisCarga e descarga;Fase Operacional;2002-09-30;Privado;;31;12;;http://www.pontadofelix.com.br/
85.778.074/0001-06;2015-01-01;2;46576;METALURGICA RIOSULENSE SA;;;1946-01-02;013439;1988-11-29;Categoria A;2010-01-01;Ativo;1988-11-29;Brasil;Brasil;Metalurgia e Siderurgia;Industria Mecâno Metalúrgica;Fase Operacional;1988-11-29;Privado;1988-11-29;31;12;;www.riosulense.com.br
86.375.425/0001-09;2015-01-01;2;46647;METISA METALÚRGICA TIMBOENSE SA;;;1942-01-08;008753;1971-05-18;Categoria A;2010-01-01;Ativo;1971-05-18;Brasil;Brasil;Metalurgia e Siderurgia;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação.;Fase Operacional;1971-05-18;Privado;1990-01-29;31;12;1988-12-31;www.metisa.com.br
86.550.951/0001-50;2015-01-01;2;49303;RENAR MAÇAS SA;1986-12-31;REFLORESTAMENTO FRAIBURGO S.A.;1962-11-01;019658;2004-12-28;Categoria A;2010-01-01;Ativo;2004-12-28;Brasil;Brasil;Agricultura (Açúcar, Álcool e Cana);POMICULTURA PRODUÇÃO, COMERCIALIZAÇÃO E EXPORTAÇÃO;Fase Operacional;2004-12-28;Privado;;31;12;;www.renar.agr.br
87.043.832/0001-73;2015-01-01;2;49105;SEIVA S.A. - FLORESTAS E INDÚSTRIAS;1971-12-29;;1971-12-29;010561;1981-12-11;Categoria A;2010-01-01;Ativo;1981-12-11;Brasil;Brasil;Emp. Adm. Part. - Metalurgia e Siderurgia;Participação e Administração;Fase Operacional;1981-12-11;Privado;;31;12;;www.gerdau.com
87.456.562/0001-22;2015-01-01;2;46477;JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP;;JOSAPAR Joaquim Oliveira S/A Participações;1973-11-13;013285;1988-03-04;Categoria A;2010-01-01;Ativo;1988-03-04;Brasil;Brasil;Alimentos;Beneficiamento de Arroz e Participações;Fase Operacional;1988-03-04;Privado;2010-12-31;31;12;;http://www.josapar.com.br
87.762.563/0001-03;2015-01-01;2;48076;COMPANHIIA HABITASUL DE PARTICIPAÇÕES;1981-12-02;HABITASUL ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA;1981-09-28;003298;1982-04-19;Categoria A;2010-01-01;Ativo;1982-04-19;Brasil;Brasil;Emp. Adm. Part. - Sem Setor Principal;PARTICIPAÇÕES SOCIETÁRIAS;Fase Operacional;1982-04-19;Privado Holding;1981-12-02;31;12;1986-09-16;www.habitasul.com.br
88.610.126/0001-29;2015-01-01;5;51388;FRAS-LE SA;1996-01-22;Francisco Stedile S.A;1954-02-22;006211;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Máquinas, Equipamentos, Veículos e Peças;Indústria de Autopeças e Materiais de Fricção;Fase Operacional;1977-07-20;Privado;1996-01-22;31;12;;www.fras-le.com
88.610.191/0001-54;2015-01-01;4;52372;MUNDIAL S.A - PRODUTOS DE CONSUMO;2003-12-29;EBERLE S/A;1896-04-02;005312;1979-12-12;Categoria A;2010-01-01;Ativo;1979-12-12;Brasil;Brasil;Têxtil e Vestuário;Componentes diversos para Indústria de calçados confecções, artigos de cuidados pessoais e de cultelaria.;Fase Operacional;1979-12-12;Privado;2003-12-29;31;12;;www.mundial.com
88.611.835/0001-29;2015-01-01;4;50625;MARCOPOLO SA;1992-04-27;MARCOPOLO S.A. - CARROCERIAS E ÔNIBUS;1949-08-06;008451;1977-07-20;Categoria A;2010-01-01;Ativo;1977-07-20;Brasil;Brasil;Máquinas, Equipamentos, Veículos e Peças;;Fase Operacional;1977-07-20;Privado;2009-12-11;31;12;1982-12-29;www.marcopolo.com.br
88.613.658/0001-10;2015-01-01;2;47629;PETTENATI SA IND TEXTIL;1992-10-30;PETTENATI S/A INDÚSTRIA DE MALHAS E CONFECÇÕES;1964-06-11;009539;1981-02-04;Categoria A;2010-01-01;Ativo;1981-02-04;Brasil;Brasil;Têxtil e Vestuário;Fabricação de Tecidos Acabados em Malha Circular, Fabricação de Confecções do Vestuário;Fase Operacional;1981-02-04;Privado Holding;1981-02-04;30;6;;www.pettenati.com.br
89.086.144/0001-16;2015-01-01;3;48538;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES;2003-11-28;RANDON PARTICIPAÇÕES S.A.;1992-09-16;014109;1993-02-05;Categoria A;2010-01-01;Ativo;1993-02-05;Brasil;Brasil;Máquinas, Equipamentos, Veículos e Peças;indústria e comércio de veíc. automotores e rebocados para a movimentação e o de transporte de materiais de implem para o transp rodoviário e ferroviário e de aparelhos mecânicos, peças;Fase Operacional;1993-02-05;Privado;1993-02-05;31;12;;wwww.randon.com.br/ri
89.096.457/0001-55;2015-01-01;2;46795;SLC AGRICOLA SA;2007-03-23;SLC AGRÍCOLA LTDA.;1977-06-03;020745;2007-06-12;Categoria A;2010-01-01;Ativo;2007-06-12;Brasil;Brasil;Agricultura (Açúcar, Álcool e Cana);Produção e comercialização de algodão, soja, milho, café, entre outros.;Fase Operacional;2007-06-12;Privado;2008-06-09;31;12;;www.slcagricola.com.br
89.463.822/0001-12;2015-01-01;2;48867;LUPATECH S/A - Em Recuperação Judicial;1993-03-30;Valmicro Indústria e Comércio de Válvulas S.A.;1980-08-08;020060;2006-05-08;Categoria A;2010-01-01;Ativo;2006-05-08;Brasil;Brasil;Máquinas, Equipamentos, Veículos e Peças;Fabricante de equipamentos e provedor de serviços para o setor de Petróleo e Gás.;Em Recuperação Judicial ou Equivalente;2015-06-22;Privado;2006-05-15;31;12;1980-08-08;www.lupatech.com.br
89.547.269/0001-04;2015-01-01;1;46124;DIGITEL SA INDUSTRIA ELETRONICA;;;1978-11-27;012858;1986-06-20;Categoria A;2010-01-01;Ativo;1986-06-20;Brasil;Brasil;Comunicação e Informática;;Fase Operacional;1986-06-20;Privado;;31;12;2009-12-31;www.digitel.com.br
89.637.490/0001-45;2015-01-01;2;46582;KLABIN S.A.;2001-10-26;KLABIN RIOCELL S.A.;1978-11-08;012653;1997-08-06;Categoria A;2010-01-01;Ativo;1997-08-06;Brasil;Brasil;Papel e Celulose;Empresa brasileira de base florestal. Produtora de papéis e cartões para embalagens, embalagens de papelão ondulado e sacos industriais, além de ser recicladora e produtora de toras para serrarias.;Fase Operacional;1997-08-06;Privado;2001-12-28;31;12;2011-12-31;www.klabin.com.br
89.723.993/0001-33;2015-01-01;4;52061;CONSTRUTORA SULTEPA S/A - EM RECUPERAÇÃO JUDICIAL;;CONSTRUTORA SULTEPA S/A;1956-03-14;013030;1986-09-29;Categoria A;2010-01-01;Ativo;1986-09-29;Brasil;Brasil;Construção Civil, Mat. Constr. e Decoração;Administração e execução de obras públicas e privadas como: portos, aeroportos, viadutos, estradas.;Em Recuperação Judicial ou Equivalente;2015-07-09;Privado;;31;12;;www.sultepa.com.br
