CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
84.683.762/0001-20;2015-01-01;1;METALURGICA DUQUE SA;008648;FCA;44308;2015-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44308
84.683.762/0001-20;2015-01-01;2;METALURGICA DUQUE SA;008648;FCA;44440;2015-03-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44440
84.693.183/0001-68;2015-01-01;1;SCHULZ S.A.;014664;FCA;44982;2015-03-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44982
84.693.183/0001-68;2015-01-01;2;SCHULZ S.A.;014664;FCA;46373;2015-05-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46373
85.041.333/0001-11;2015-01-01;1;PORTO PONTA DO FELIX S/A;015407;FCA;44028;2015-02-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44028
85.041.333/0001-11;2015-01-01;2;PORTO PONTA DO FELIX S/A;015407;FCA;47724;2015-05-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=47724
85.778.074/0001-06;2015-01-01;1;METALURGICA RIOSULENSE S.A.;013439;FCA;46023;2015-04-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46023
85.778.074/0001-06;2015-01-01;2;METALURGICA RIOSULENSE S.A.;013439;FCA;46576;2015-05-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46576
86.375.425/0001-09;2015-01-01;1;METISA METALURGICA TIMBOENSE S.A.;008753;FCA;43480;2015-01-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=43480
86.375.425/0001-09;2015-01-01;2;METISA METALURGICA TIMBOENSE S.A.;008753;FCA;46647;2015-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=46647
86.550.951/0001-50;2015-01-01;1;POMIFRUTAS S/A EM RECUPERACAO JUDICIAL;019658;FCA;44871;2015-03-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=44871
