CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
03.847.461/0001-92;2013-01-01;3;28465;BRADESPAR S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2001-06-26;;Bovespa Mais;2000-08-10;
03.847.461/0001-92;2013-01-01;3;28465;BRADESPAR S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2009-07-13;;;2009-07-13;
03.853.896/0001-40;2013-01-01;2;29958;MARFRIG ALIMENTOS SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-06-29;;Nível 1 de Governança Corporativa;2007-06-29;
03.853.896/0001-40;2013-01-01;2;29958;MARFRIG ALIMENTOS SA;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2011-04-18;;;2011-04-18;
03.853.896/0001-40;2013-01-01;2;29958;MARFRIG ALIMENTOS SA;Debêntures Conversíveis;;;;;Balcão Não-Organizado;;;;;;2010-07-15;
03.953.509/0001-47;2013-01-01;3;28235;CPFL GERAÇÃO DE ENERGIA S/A;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2009-04-14;;;2009-04-14;
03.983.431/0001-03;2013-01-01;4;29160;EDP ENERGIAS DO BRASIL S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2005-07-13;;Nível 1 de Governança Corporativa;2005-07-13;
03.983.431/0001-03;2013-01-01;4;29160;EDP ENERGIAS DO BRASIL S/A;Debêntures;;;;;Balcão Não-Organizado;;;;;;2012-08-28;
04.032.433/0001-80;2013-01-01;4;32287;CONTAX PARTICIPAÇÕES S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2013-04-30;;Bovespa Mais N2;2005-08-29;
04.065.791/0001-99;2013-01-01;2;26622;Senior Solution S.A.;Ações Ordinárias;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2012-05-10;;;2012-04-26;
04.149.454/0001-80;2013-01-01;3;28739;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2010-04-01;;Nível 1 de Governança Corporativa;2010-04-01;
04.149.454/0001-80;2013-01-01;3;28739;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2012-05-18;;;2012-05-18;
04.310.392/0001-46;2013-01-01;4;31585;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2010-11-24;;Nível 1 de Governança Corporativa;2007-03-09;
04.423.567/0001-21;2013-01-01;7;31948;ENEVA S.A.;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-12-13;;Nível 1 de Governança Corporativa;2007-12-13;
