date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3,IBOV
2021-12-09,15.810000,16.010000,15.371200,10.638500,27.850000,19.532200,29.290000,35.490000,75.180000,36.500000,106291.000000
2021-12-10,15.950000,16.250000,15.310600,10.746200,28.028600,19.558700,29.650000,35.600000,75.650000,35.800000,107758.000000
2021-12-13,16.010000,16.115000,15.030300,10.761500,28.235700,19.038000,29.470000,36.100000,77.860000,35.600000,107383.000000
2021-12-14,16.170000,16.030000,15.257600,10.830800,27.914300,19.223300,29.120000,35.930000,77.850000,35.290000,106760.000000
2021-12-15,16.080000,15.755000,15.257600,10.861500,28.128600,19.161500,29.300000,36.350000,77.410000,35.610000,107370.000000
2021-12-16,16.100000,15.705000,15.447000,10.730800,27.857100,19.355700,29.690000,36.580000,80.440000,35.600000,108212.000000
2021-12-17,16.070000,15.165000,15.015200,10.861500,27.950000,18.932000,28.990000,36.570000,79.170000,34.850000,107201.000000
2021-12-20,15.420000,14.710000,14.704500,10.700000,27.757100,18.640800,28.160000,36.180000,78.280000,34.010000,105020.000000
2021-12-21,15.400000,14.750000,14.462100,10.623100,27.621400,18.667300,28.200000,36.220000,80.340000,33.920000,105500.000000
2021-12-22,15.390000,14.665000,14.530300,10.123100,27.621400,18.737900,28.160000,36.330000,79.920000,33.670000,105244.000000
2021-12-23,15.550000,14.610000,14.575800,10.061500,27.571400,18.835000,28.330000,36.200000,79.150000,33.470000,104891.000000
2021-12-27,15.530000,14.640000,14.742400,10.123100,27.607100,19.029100,28.750000,36.310000,78.950000,33.170000,105531.000000
2021-12-28,15.520000,14.555000,14.689400,10.161500,27.714300,18.958500,28.780000,36.290000,76.800000,33.290000,104864.000000
2021-12-29,15.450000,14.480000,14.621200,10.030800,27.564300,18.799600,28.540000,36.200000,77.250000,32.740000,104107.000000
2021-12-30,15.420000,14.425000,14.553000,10.084600,27.435700,18.490700,28.450000,36.370000,77.960000,32.980000,104822.000000
2022-01-03,15.330000,14.410000,14.916700,9.907700,27.171400,18.985000,29.090000,36.300000,78.000000,32.020000,103922.000000
2022-01-04,15.310000,14.425000,15.000000,9.900000,27.242900,19.523400,29.200000,36.600000,77.080000,31.860000,103514.000000
2022-01-05,15.010000,14.185000,14.893900,9.584600,26.857100,19.152700,28.070000,36.210000,77.810000,30.180000,101006.000000
2022-01-06,14.770000,14.300000,15.106100,9.376900,26.642900,19.541000,28.050000,36.140000,79.380000,30.170000,101561.000000
2022-01-07,14.530000,14.315000,15.325800,9.430800,26.678600,19.973500,28.180000,36.110000,84.000000,29.410000,102719.000000
2022-01-10,14.650000,14.390000,15.378800,9.346200,26.957100,20.158900,28.010000,36.150000,83.000000,28.560000,101945.000000
2022-01-11,14.680000,14.450000,15.401500,9.615400,27.000000,20.609000,28.840000,36.170000,84.580000,29.040000,103779.000000
2022-01-12,14.880000,14.590000,15.287900,9.753800,27.128600,20.520700,29.720000,36.050000,85.500000,30.220000,105686.000000
2022-01-13,14.990000,14.825000,15.560600,9.769200,27.350000,20.900300,30.320000,36.040000,84.200000,28.950000,105530.000000
2022-01-14,15.100000,15.205000,15.810600,9.792300,27.421400,20.741400,31.450000,36.060000,84.690000,30.700000,106928.000000
2022-01-17,14.800000,15.235000,15.901500,9.800000,27.442900,20.741400,31.500000,36.070000,84.250000,30.350000,106692.000000
2022-01-18,14.580000,15.370000,16.189400,9.807700,27.650000,20.865000,31.640000,36.180000,86.310000,30.540000,106522.000000
2022-01-19,14.540000,15.505000,15.984800,9.969200,28.092900,20.723700,31.490000,36.810000,88.210000,30.500000,108013.000000
2022-01-20,14.490000,15.600000,15.969700,10.007700,28.142900,20.556000,31.720000,37.650000,86.710000,30.740000,109102.000000
2022-01-21,14.690000,15.600000,15.803000,9.992300,27.985700,20.564900,31.770000,37.980000,84.910000,30.610000,108942.000000
2022-01-24,14.700000,15.675000,16.136400,9.861500,28.014300,20.538400,31.950000,37.990000,83.870000,29.900000,107752.000000
2022-01-25,15.070000,16.080000,16.780300,9.976900,28.135700,21.279800,32.990000,37.990000,84.060000,30.200000,109845.000000
2022-01-26,15.000000,15.925000,16.795500,9.923100,28.078600,21.509300,33.870000,37.590000,84.300000,30.740000,111573.000000
2022-01-27,15.400000,16.145000,16.878800,10.076900,28.364300,21.588700,33.880000,37.730000,84.490000,32.400000,112315.000000
2022-01-28,14.930000,16.245000,17.121200,10.023100,28.671400,21.880000,32.540000,37.700000,83.660000,31.620000,111478.000000
2022-01-31,14.970000,16.330000,17.272700,10.100000,29.071400,22.356600,32.350000,38.170000,80.870000,32.160000,112388.000000
2022-02-01,14.850000,16.305000,17.333300,10.200000,29.150000,22.497800,33.000000,37.610000,85.310000,32.060000,113147.000000
2022-02-02,14.520000,16.035000,17.007600,10.023100,28.857100,22.144700,32.520000,37.520000,85.790000,31.770000,112161.000000
2022-02-03,14.460000,16.145000,17.257600,10.092300,29.392900,22.400700,32.070000,37.880000,85.750000,30.950000,111696.000000
2022-02-04,14.410000,16.115000,17.371200,9.853800,29.128600,22.471300,32.630000,37.650000,87.980000,30.850000,112245.000000
2022-02-07,14.290000,15.930000,17.310600,9.653800,28.764300,22.347800,32.150000,37.640000,90.130000,31.000000,111996.000000
2022-02-08,14.160000,16.100000,17.212100,9.715400,28.628600,22.594900,31.830000,37.480000,91.390000,30.220000,112234.000000
2022-02-09,14.540000,15.960000,15.734800,9.830800,28.928600,21.694600,31.950000,37.690000,91.410000,30.290000,112461.000000
2022-02-10,14.750000,16.135000,15.962100,9.900000,28.828600,22.109400,32.440000,37.860000,93.870000,29.740000,113359.000000
