date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3
2022-12-22,0.85054162,1.48054049,0.75541896,0.93754730,1.09211702,1.03141810,1.57768800,1.05477284,1.06627250,1.09789726
2022-12-23,0.86233831,1.51709173,0.76862051,0.94951315,1.09097019,1.04763709,1.65200178,1.06116540,1.07336026,1.08549164
2022-12-26,0.85643996,1.51494166,0.75034425,0.93669180,1.08151892,1.02684267,1.64016418,1.05233758,1.08318365,1.07675132
2022-12-27,0.85643996,1.46462994,0.74678647,0.93583631,1.07579282,1.02101854,1.65134413,1.04533620,1.10904775,1.07167629
2022-12-28,0.85820947,1.49086084,0.76963180,0.95463503,1.08352386,1.04181295,1.63095717,1.05629488,1.10656082,1.09113056
2022-12-29,0.89465860,1.51869968,0.76912616,0.95206853,1.08495538,1.03973493,1.61122785,1.05538166,1.10519301,1.08577358
2023-01-02,0.87432545,1.45441841,0.74980256,0.94521941,1.06891589,1.01923232,1.50732009,1.04533620,1.11165903,1.07421380
2023-01-03,0.87309314,1.42730658,0.71167711,0.92269353,1.05917992,0.99800381,1.46917674,1.03072463,1.10966948,1.04742894
2023-01-04,0.87802238,1.44567266,0.71370844,0.93395647,1.05975333,1.00091790,1.51586946,1.03589956,1.11165903,1.05447759
2023-01-05,0.88048701,1.51170308,0.74471510,0.94261767,1.05287640,1.03213351,1.57045392,1.03620397,1.13031103,1.05673316
2023-01-06,0.88233548,1.53269288,0.76555905,0.94261767,1.05602816,1.05002827,1.56124690,1.07547257,1.14821695,1.07224018
2023-01-09,0.88726472,1.51782510,0.74014005,0.96687803,1.08209233,1.05752096,1.56979627,1.08795328,1.14946041,1.06913878
2023-01-10,0.89589091,1.54362507,0.76759037,0.97208151,1.08409727,1.07791484,1.58426444,1.09191059,1.16363593,1.05870678
2023-01-11,0.88048701,1.56548945,0.78284055,1.01192978,1.11331320,1.09663950,1.59675968,1.06055659,1.15953249,1.08831110
2023-01-12,0.86878004,1.55543183,0.76454034,1.00240134,1.11159297,1.08124388,1.61977722,1.06329626,1.16562548,1.08577358
2023-01-13,0.85522461,1.55893013,0.76200271,0.98940391,1.08381257,1.07583066,1.61583136,1.05842573,1.16662025,1.09874309
2023-01-16,0.81332600,1.55718098,0.73861503,0.97987546,1.09326384,1.06417903,1.58097622,1.05903455,1.14709783,1.06265402
2023-01-17,0.85399230,1.64857408,0.74370249,1.00932804,1.11045016,1.08623744,1.67830754,1.06664474,1.14560567,1.08013467
2023-01-18,0.84906305,1.67218761,0.75488392,1.01366427,1.11818119,1.10579671,1.64871356,1.06603593,1.16065161,1.07111240
2023-01-19,0.84043686,1.71023163,0.75640894,1.01192978,1.10844522,1.10579671,1.80100065,1.07942987,1.16562548,1.06885683
2023-01-20,0.83365915,1.75221123,0.74573381,0.98507894,1.09297513,1.08623744,1.83865223,1.07486375,1.16873414,1.05250397
2023-01-23,0.82688143,1.73909261,0.71421474,0.97034702,1.08953867,1.05294235,1.86793679,1.11672812,1.17258889,1.05363175
2023-01-24,0.83858840,1.73034686,0.72183983,0.98853666,1.11159297,1.06251451,1.85468902,1.12841665,1.18502355,1.04912062
